flight_id,airline,source,destination,departure_time,arrival_time,duration
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41,2026-04-21 02:32:41,02:54:00
AI155,Air India,BOM,CCU,2026-04-20 23:35:41,2026-04-21 01:23:41,01:48:00
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41,2026-04-21 01:11:41,01:45:00
AI245,Air India,BOM,CCU,2026-04-20 23:07:41,2026-04-21 01:43:41,02:36:00
AI192,Air India,MAA,BOM,2026-04-20 23:05:41,2026-04-21 04:04:41,04:59:00
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41,2026-04-21 01:24:41,02:19:00
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41,2026-04-21 00:47:41,01:43:00
AI080,Air India,BOM,HYD,2026-04-20 23:03:41,2026-04-21 00:35:41,01:32:00
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41,2026-04-20 23:57:41,00:55:00
6F251,IndiGo,DEL,BLR,2026-04-20 22:56:41,2026-04-20 23:37:41,00:41:00
AI137,Air India,BOM,DEL,2026-04-20 22:49:41,2026-04-21 01:17:41,02:28:00
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42,2026-04-21 03:13:42,04:27:00
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41,2026-04-21 01:46:41,03:01:00
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41,2026-04-21 01:05:41,02:21:00
AI069,Air India,DEL,BOM,2026-04-20 22:43:41,2026-04-21 02:29:41,03:46:00
AI058,Air India,BOM,CCU,2026-04-20 22:40:41,2026-04-21 00:18:41,01:38:00
AI140,Air India,BOM,DEL,2026-04-20 22:25:41,2026-04-21 02:08:41,03:43:00
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41,2026-04-21 00:10:41,01:46:00
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41,2026-04-20 22:59:41,00:35:00
AI048,Air India,CCU,DEL,2026-04-20 22:23:41,2026-04-21 02:15:41,03:52:00
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41,2026-04-21 00:40:41,02:20:00
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41,2026-04-21 00:45:41,02:27:00
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41,2026-04-20 23:50:41,01:50:00
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41,2026-04-21 01:14:41,03:16:00
AI060,Air India,DEL,HYD,2026-04-20 21:58:41,2026-04-20 23:51:41,01:53:00
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41,2026-04-20 23:00:41,01:04:00
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41,2026-04-20 23:01:41,01:06:00
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41,2026-04-20 22:39:41,00:55:00
UK003,Vistara,HYD,DEL,2026-04-20 21:41:41,2026-04-21 02:19:41,04:38:00
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41,2026-04-20 23:44:41,02:06:00
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41,2026-04-20 22:16:41,00:40:00
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41,2026-04-21 01:02:41,03:26:00
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41,2026-04-20 23:20:42,02:00:00.298000
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41,2026-04-21 00:32:41,03:27:00
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41,2026-04-20 22:45:41,01:51:00
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41,2026-04-20 22:10:41,01:16:00
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41,2026-04-20 21:21:41,00:37:00
AI179,Air India,HYD,BOM,2026-04-20 20:41:41,2026-04-21 01:19:41,04:38:00
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41,2026-04-20 22:00:41,01:23:00
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41,2026-04-20 23:54:41,03:19:00
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41,2026-04-20 22:10:41,01:37:00
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41,2026-04-21 01:15:41,04:47:00
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41,2026-04-21 00:26:41,04:00:00
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41,2026-04-20 21:00:41,00:37:00
AI220,Air India,BOM,DEL,2026-04-20 20:19:41,2026-04-20 21:57:41,01:38:00
AI188,Air India,CCU,HYD,2026-04-20 20:16:41,2026-04-20 23:02:41,02:46:00
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41,2026-04-20 21:00:41,00:50:00
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41,2026-04-20 23:39:41,03:30:00
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41,2026-04-21 00:36:41,04:34:00
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41,2026-04-20 20:32:41,00:42:00
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41,2026-04-20 21:49:41,02:00:00
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41,2026-04-21 00:12:41,04:24:00
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41,2026-04-20 20:30:41,00:45:00
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41,2026-04-20 22:04:41,02:20:00
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41,2026-04-20 21:00:41,01:23:00
AI115,Air India,MAA,BLR,2026-04-20 19:37:41,2026-04-21 00:26:41,04:49:00
AI132,Air India,BLR,BOM,2026-04-20 19:32:41,2026-04-20 21:41:41,02:09:00
UK209,Vistara,MAA,BLR,2026-04-20 19:02:41,2026-04-20 21:47:41,02:45:00
SJ043,SpiceJet,MAA,DEL,2026-04-20 18:59:41,2026-04-20 21:08:41,02:09:00
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41,2026-04-20 22:49:41,04:08:00
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41,2026-04-20 21:47:41,03:14:00
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41,2026-04-20 19:01:41,00:30:00
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41,2026-04-20 20:41:41,02:11:00
6F270,IndiGo,HYD,MAA,2026-04-20 18:14:41,2026-04-20 19:02:41,00:48:00
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41,2026-04-20 21:31:41,03:25:00
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41,2026-04-20 22:02:41,03:59:00
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41,2026-04-20 20:42:41,02:45:00
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41,2026-04-20 18:30:41,00:34:00
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41,2026-04-20 20:40:41,02:47:00
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41,2026-04-20 19:50:41,02:12:00
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41,2026-04-20 19:02:41,01:29:00
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41,2026-04-20 19:09:41,01:42:00
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41,2026-04-20 20:13:41,02:49:00
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41,2026-04-20 19:08:41,01:47:00
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41,2026-04-20 18:43:41,01:26:00
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41,2026-04-20 21:22:41,04:16:00
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41,2026-04-20 18:53:41,01:49:00
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41,2026-04-20 20:53:41,04:01:00
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41,2026-04-20 18:42:41,01:50:00
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41,2026-04-20 19:31:41,02:43:00
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41,2026-04-20 19:26:41,02:42:00
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41,2026-04-20 18:41:41,01:57:00
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41,2026-04-20 18:48:41,02:04:00
AI242,Air India,BLR,CCU,2026-04-20 16:41:41,2026-04-20 17:43:41,01:02:00
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41,2026-04-20 19:00:41,02:28:00
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41,2026-04-20 18:27:41,01:58:00
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41,2026-04-20 17:41:41,01:12:00
