flight_id,airline,source,destination,route,departure_time,arrival_time,departure_hour,arrival_hour,departure_period,overnight_flag,flight_duration_minutes,flight_duration_hours,duration_status
SJ010,SpiceJet,CCU,MAA,CCU → MAA,2026-04-20 23:38:41,2026-04-21 02:32:41,23,2,Evening,True,174.0,2.9,Valid
AI155,Air India,BOM,CCU,BOM → CCU,2026-04-20 23:35:41,2026-04-21 01:23:41,23,1,Evening,True,108.0,1.8,Valid
UK094,Vistara,BOM,CCU,BOM → CCU,2026-04-20 23:26:41,2026-04-21 01:11:41,23,1,Evening,True,105.0,1.75,Valid
AI245,Air India,BOM,CCU,BOM → CCU,2026-04-20 23:07:41,2026-04-21 01:43:41,23,1,Evening,True,156.0,2.6,Valid
AI192,Air India,MAA,BOM,MAA → BOM,2026-04-20 23:05:41,2026-04-21 04:04:41,23,4,Evening,True,299.0,4.98,Valid
SJ158,SpiceJet,DEL,HYD,DEL → HYD,2026-04-20 23:05:41,2026-04-21 01:24:41,23,1,Evening,True,139.0,2.32,Valid
6F196,IndiGo,CCU,MAA,CCU → MAA,2026-04-20 23:04:41,2026-04-21 00:47:41,23,0,Evening,True,103.0,1.72,Valid
AI080,Air India,BOM,HYD,BOM → HYD,2026-04-20 23:03:41,2026-04-21 00:35:41,23,0,Evening,True,92.0,1.53,Valid
6F025,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 23:02:41,2026-04-20 23:57:41,23,23,Evening,False,55.0,0.92,Valid
6F251,IndiGo,DEL,BLR,DEL → BLR,2026-04-20 22:56:41,2026-04-20 23:37:41,22,23,Evening,False,41.0,0.68,Valid
AI137,Air India,BOM,DEL,BOM → DEL,2026-04-20 22:49:41,2026-04-21 01:17:41,22,1,Evening,True,148.0,2.47,Valid
6F026,IndiGo,BOM,CCU,BOM → CCU,2026-04-20 22:46:42,2026-04-21 03:13:42,22,3,Evening,True,267.0,4.45,Valid
UK167,Vistara,DEL,MAA,DEL → MAA,2026-04-20 22:45:41,2026-04-21 01:46:41,22,1,Evening,True,181.0,3.02,Valid
UK027,Vistara,BOM,CCU,BOM → CCU,2026-04-20 22:44:41,2026-04-21 01:05:41,22,1,Evening,True,141.0,2.35,Valid
AI069,Air India,DEL,BOM,DEL → BOM,2026-04-20 22:43:41,2026-04-21 02:29:41,22,2,Evening,True,226.0,3.77,Valid
AI058,Air India,BOM,CCU,BOM → CCU,2026-04-20 22:40:41,2026-04-21 00:18:41,22,0,Evening,True,98.0,1.63,Valid
AI140,Air India,BOM,DEL,BOM → DEL,2026-04-20 22:25:41,2026-04-21 02:08:41,22,2,Evening,True,223.0,3.72,Valid
