flight_id,reason,validation_status
AI242,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
SJ142,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
AI031,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
SJ146,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
UK163,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
AI020,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
SJ118,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
AI043,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
AI070,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
UK013,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
UK139,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
UK160,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
UK180,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
UK049,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
SJ037,Exact Full Row Duplicate,REJECTED_DEDUPLICATION
6F250,Conflicting Duplicate Flight ID Details,REJECTED_PRIMARY_KEY_CONFLICT
