source,destination,route,flight_count,percentage_of_total,avg_route_duration_min
BOM,CCU,BOM → CCU,90,8.96,169.51
CCU,DEL,CCU → DEL,72,7.17,153.61
MAA,BLR,MAA → BLR,65,6.47,172.82
BLR,BOM,BLR → BOM,60,5.98,147.73
HYD,MAA,HYD → MAA,57,5.68,152.81
DEL,HYD,DEL → HYD,54,5.38,174.76
HYD,DEL,HYD → DEL,42,4.18,185.36
BOM,DEL,BOM → DEL,39,3.88,153.82
CCU,BOM,CCU → BOM,33,3.29,163.97
DEL,BLR,DEL → BLR,29,2.89,170.04
DEL,BOM,DEL → BOM,28,2.79,178.11
HYD,BOM,HYD → BOM,27,2.69,155.48
BOM,MAA,BOM → MAA,27,2.69,183.41
BOM,HYD,BOM → HYD,26,2.59,180.85
MAA,DEL,MAA → DEL,26,2.59,155.96
HYD,CCU,HYD → CCU,26,2.59,167.15
DEL,CCU,DEL → CCU,26,2.59,151.73
HYD,BLR,HYD → BLR,26,2.59,162.77
MAA,CCU,MAA → CCU,24,2.39,158.54
CCU,MAA,CCU → MAA,24,2.39,171.29
BOM,BLR,BOM → BLR,23,2.29,176.52
DEL,MAA,DEL → MAA,23,2.29,178.78
BLR,CCU,BLR → CCU,21,2.09,128.52
CCU,HYD,CCU → HYD,21,2.09,152.24
MAA,BOM,MAA → BOM,21,2.09,176.76
MAA,HYD,MAA → HYD,21,2.09,160.0
BLR,HYD,BLR → HYD,19,1.89,155.68
CCU,BLR,CCU → BLR,19,1.89,174.42
BLR,DEL,BLR → DEL,19,1.89,156.95
BLR,MAA,BLR → MAA,16,1.59,187.31
